Institution Name,Title IV School Code,Program Title,Program Type,Program Format ,Location,Schedule (if possible),Program URL,Avg Timeframe to Complete,Avg Cost,Program Category ,Program Description
University of Maine Fort Kent,2041,Nursing (RN to BSN),Bachelor of Science,Online,N/A,Flexible,http://nursing.umfk.edu/rntobsn/online/,Variable,$220/credit,,
University of Maine Fort Kent,2041,Rural Public Safety Administration,Bachelor of Science,Online,N/A,Flexible,http://safety.umfk.edu/administration/online/,Variable,$220/credit,,
University of Maine Fort Kent,2041,University Studies,Bachelor of Art,Online,N/A,Flexible,http://studies.umfk.edu/university/online/,Variable,$220/credit,,
University of Maine Fort Kent,2041,Emergency Management/Homeland Security,Certificate,Online,N/A,Flexible,http://safety.umfk.edu/default.cfm?cert=emergencymgt,Variable,$220/credit,,
University of Maine Fort Kent,2041,Public Management,Certificate,Online,N/A,Flexible,http://safety.umfk.edu/default.cfm?cert=publicmgt,Variable,$220/credit,,
University of Maine Fort Kent,2041,Study in Criminal Justice,Certificate,Online,N/A,Flexible,http://safety.umfk.edu/default.cfm?cert=crj,Variable,$220/credit,,
University of Maine Fort Kent,2041,Healthcare Management,Certificate,Online,N/A,Flexible,http://business.umfk.edu/default.cfm?cert=healthcare,Variable,$220/credit,,
University of Maine Fort Kent,2041,Special Education Teacher,Certificate,Online,N/A,Flexible,http://umfk.edu/academics/programs/education/cert/specialeducation/,Variable,$220/credit,,
Husson University,2043,Accounting,Associate Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=389,variable,$250/credit hour,,
Husson University,2043,Business Administration,Associate Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Criminal Justice,Associate Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=645,variable,$250/credit hour,,
Husson University,2043,Paralegal Studies,Associate Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=466,variable,$250/credit hour,,
Husson University,2043,Accounting and Accounting/CIS,Bachelor's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=645,variable,$250/credit hour,,
Husson University,2043,Business Administration,Bachelor's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Business & Technology,Bachelor's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=390 ,variable,$250/credit hour,,
Husson University,2043,Criminal Justice,Bachelor's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=645,variable,$250/credit hour,,
Husson University,2043,Paralegal Studies,Bachelor's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=466,variable,$250/credit hour,,
Husson University,2043,Business Administration,Master's Degree,On Site and Online,Bangor,flexible,http://www.husson.edu/index.php?cat_id=388,variable,$394/credit hour,,
Husson University,2043,Clinical Mental Health Counseling,Master's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=1281,variable,$496/credit hour,,
Husson University,2043,Criminal Justice Administration,Master's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=611,variable,$394/credit hour,,
Husson University,2043,Human Relations,Master's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=1280,variable,$496/credit hour,,
Husson University,2043,Nursing,Master's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=1314,variable,$496/credit hour,,
Husson University,2043,School Counseling,Master's Degree,On Site,Bangor,flexible,http://www.husson.edu/index.php?cat_id=1005,variable,$496/credit hour,,
Husson University,2043,Accounting,Associate Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=389,variable,$250/credit hour,,
Husson University,2043,Business Administration,Associate Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Accounting,Bachelor's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=389,variable,$250/credit hour,,
Husson University,2043,Business Administration,Bachelor's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Business & Technology,Bachelor's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=390 ,variable,$250/credit hour,,
Husson University,2043,Business Administration,Master's Degree,On Site and Online,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=388,variable,$394/credit hour,,
Husson University,2043,Criminal Justice Administration,Master's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=611,variable,$394/credit hour,,
Husson University,2043,Clinical Mental Health Counseling,Master's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=1281,variable,$496/credit hour,,
Husson University,2043,Human Relations,Master's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=1280,variable,$496/credit hour,,
Husson University,2043,Nursing,Master's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=1314,variable,$496/credit hour,,
Husson University,2043,School Counseling,Master's Degree,On Site,Presque Isle,flexible,http://www.husson.edu/index.php?cat_id=1005,variable,$496/credit hour,,
Husson University,2043,Accounting,Associate Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=389,variable,$250/credit hour,,
Husson University,2043,Business Administration,Associate Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Business Studies,Associate Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=407,variable,$250/credit hour,,
Husson University,2043,Criminal Justice,Associate Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=645,variable,$250/credit hour,,
Husson University,2043,Paralegal Studies,Associate Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=466,variable,$250/credit hour,,
Husson University,2043,Accounting,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=389,variable,$250/credit hour,,
Husson University,2043,Business Administration,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Criminal Justice,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=645,variable,$250/credit hour,,
Husson University,2043,Elementary Education,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=417,variable,$250/credit hour,,
Husson University,2043,Paralegal Studies,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=466,variable,$250/credit hour,,
Husson University,2043,NESCom 2+2 Program,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=391,variable,$250/credit hour,,
Husson University,2043,Business & Technology,Bachelor's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=390 ,variable,$250/credit hour,,
Husson University,2043,Alternative Teacher Certification,Certificate,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=497,variable,,,
Husson University,2043,Business Administration,Master's Degree,On Site and Online,South Portland,flexible,http://www.husson.edu/index.php?cat_id=388,variable,$394/credit hour,,
Husson University,2043,Criminal Justice Administration,Master's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=611,variable,$394/credit hour,,
Husson University,2043,Clinical Mental Health Counseling,Master's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=1281,variable,$496/credit hour,,
Husson University,2043,Human Relations,Master's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=1280,variable,$496/credit hour,,
Husson University,2043,Nursing,Master's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=1314,variable,$496/credit hour,,
Husson University,2043,School Counseling,Master's Degree,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=1005,variable,$496/credit hour,,
Husson University,2043,Paralegal Studies,Certificate,On Site,South Portland,flexible,http://www.husson.edu/index.php?cat_id=466 ,variable,,,
Saint Joseph's College Online,2051,Accountancy,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/online-master-of-accountancy.php,variable,$475/credit,,
Saint Joseph's College Online,2051,Business Administration,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/master-business-administration.php,variable,$475/credit,,
Saint Joseph's College Online,2051,Business Administration,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/undergraduate-business-degree.php ,variable,$285/credit,,
Saint Joseph's College Online,2051,Business Administration,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=789&returnto=451 ,variable,$285/credit,,
Saint Joseph's College Online,2051,Criminal Justice,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=796&returnto=451     ,variable,$285/credit,,
Saint Joseph's College Online,2051,Education/School Educator,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/school-educator-concentration.php,variable,$350/credit,,
Saint Joseph's College Online,2051,Education/School Educator,,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Education/ Adult Education & Training,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/adult-education-and-training-concentration.php ,variable,$350/credit,,
Saint Joseph's College Online,2051,Education/ Adult Education & Training,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=783&returnto=451 ,variable,$285/credit,,
Saint Joseph's College Online,2051,Education/ Adult Education & Training,Undergrad Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=784&returnto=451 ,variable,$285/credit,,
Saint Joseph's College Online,2051,Education/ School Leadership,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/school-leadership-concentration.php   ,variable,$350/credit,,
Saint Joseph's College Online,2051,Education/ School Leadership,,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Education/ School Leadership,Graduate certificate,Online,n/a,flexible,http://online.sjcme.edu/school-leadership-concentration.php   ,variable,$350/credit,,
Saint Joseph's College Online,2051,Education/Catholic School Leadership,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/catholic-school-leadership-online-degrees.php  ,variable,$350/credit,,
Saint Joseph's College Online,2051,Education/Catholic School Leadership,Graduate Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=791&returnto=454  ,variable,$350/credit,,
Saint Joseph's College Online,2051,Education/Health Care Educator,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/health-care-educator-masters-program-concentration.php  ,variable,$350/credit,,
Saint Joseph's College Online,2051,General Studies/Adult Education & Training,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/bachelor-of-science-education.php  ,variable,$285/credit,,
Saint Joseph's College Online,2051,General Studies/Business Administration,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/undergraduate-business-degree-specialization.php  ,variable,$285/credit,,
Saint Joseph's College Online,2051,General Studies/Criminal Justice,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/bachelor-of-science-criminal-justice.php  ,variable,$285/credit,,
Saint Joseph's College Online,2051,General Studies/Human Services,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/bachelor-of-science-human-services.php  ,variable,$285/credit,,
Saint Joseph's College Online,2051,General Studies/Psychology,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/bachelor-of-science-psychology.php  ,variable,$285/credit,,
Saint Joseph's College Online,2051,General Studies,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=800&returnto=451  ,variable,$285/credit,,
Saint Joseph's College Online,2051,General Studies,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Health Administration,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/master-health-administration.php  ,variable,$375/credit,,
Saint Joseph's College Online,2051,Health Administration,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Health Administration,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/bachelor-of-science-health-administration.php  ,variable,$325/credit,,
Saint Joseph's College Online,2051,Health Administration,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Health Administration,Undergrad Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=808&returnto=451  ,variable,$325/credit,,
Saint Joseph's College Online,2051,Health Admin/Catholic Health Leadership,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/catholic-health-care-leadership.php  ,variable,$375/credit,,
Saint Joseph's College Online,2051,Health Admin/Catholic Health Leadership,Graduate certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=824&returnto=454  ,variable,$375/credit,,
Saint Joseph's College Online,2051,Human Services,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=810&returnto=451  ,variable,$285/credit,,
Saint Joseph's College Online,2051,Interdisciplinary-Advanced Graduate,Post-grad Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=794&returnto=454  ,variable,varies per crs,,
Saint Joseph's College Online,2051,Long-Term Care Administration,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/long-term-care-administration-programs.php  ,variable,$325/credit,,
Saint Joseph's College Online,2051,Long-Term Care Administration,Undergrad Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=812&returnto=451  ,variable,$325/credit,,
Saint Joseph's College Online,2051,Nursing/RN to BSN,Bachelor's Degree,Online,n/a,flexible,http://online.sjcme.edu/bachelor-of-science-nursing.php  ,variable,$325/credit,,
Saint Joseph's College Online,2051,Nursing/RN to BSN,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Nursing/Education,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/master-science-nursing.php  ,variable,$425/credit,,
Saint Joseph's College Online,2051,Nursing/Education,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Nursing/Education,Graduate Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=806&returnto=454  ,variable,$425/credit,,
Saint Joseph's College Online,2051,Nursing/Administration & Leadership,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/master-science-nursing.php  ,variable,$425/credit,,
Saint Joseph's College Online,2051,Nursing/Administration & Leadership,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Nursing/Administration & Leadership,Graduate certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=807&returnto=454  ,variable,$425/credit,,
Saint Joseph's College Online,2051,Nursing/Family Nurse Practitioner,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/master-science-nursing.php  ,variable,$600/credit,,
Saint Joseph's College Online,2051,Nursing/Family Nurse Practitioner,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Nursing/Family Nurse Practitioner,Post MSN/FNP Certificate,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=915&returnto=454,variable,$600/credit,,
Saint Joseph's College Online,2051,Pastoral Theology,Master's Degree,Online,n/a,flexible,http://online.sjcme.edu/master-arts-pastoral-theology.php  ,variable,$315/credit,,
Saint Joseph's College Online,2051,Pastoral Theology,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Psychology,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=829&returnto=451  ,variable,$285/credit,,
Saint Joseph's College Online,2051,Radiologic Science Administration,Bachelor's Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=831&returnto=451  ,variable,$325/credit,,
Saint Joseph's College Online,2051,Radiologic Science Administration,Associate Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=830&returnto=451,variable,$325/credit,,
Saint Joseph's College Online,2051,Theological Studies,Bachelor's Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=786&returnto=451  ,variable,$285/credit,,
Saint Joseph's College Online,2051,Theological Studies,optional summer courses,optional summer courses,Standish,July,,,,,
Saint Joseph's College Online,2051,Joint degree: MSN/MBA,Master's Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=821&returnto=454  ,variable,$425 & $475,,
Saint Joseph's College Online,2051,Joint degree: MSN/MHA,Master's Degree,Online,n/a,flexible,http://catalog.sjcme.acalog.com/preview_program.php?catoid=18&poid=822&returnto=454  ,variable,$425 & $375,,
